processo,cd_acordao,classe,assunto,relator,comarca,orgao_julgador,camara,secao,data_julgamento,data_publicacao,valor_indenizacao,tem_dano_moral,houve_majoracao,n_palavras_ementa,ementa
1002231-02.2023.8.26.0220,20817591,Apelação Cível,Bancários,José Wagner de Oliveira Melatto Peixoto,Guaratinguetá,37ª Câmara de Direito Privado,37,Direito Privado,07/08/2026,07/08/2026,,True,False,424,"DIREITO DO CONSUMIDOR – Contratos de Consumo - Bancários – Ação declaratória de inexistência de contrato c/c repetição de indébito e indenizatória por danos morais – Sentença de parcial procedência – Contratos de empréstimos consignados - Negativa de contratação – Revelia da ré litisconsorte Carvalho Associados e Assessoria Financeira, do que incidente a presunção de veracidade dos fatos narrados na inicial em face desta – Autor que, por engodo praticado por suposto preposto da referida ré litisconsorte, forneceu cópias de seus dados pessoais e de fotografia sua, dando origem a dois contratos de empréstimos consignados firmados junto ao banco réu litisconsorte - Contratos digitais que, nas circunstâncias, não se revelam válidos - Documentação apresentada pelo banco réu que demonstra que os dois contratos de mútuo tiverem início, por suposta ação da parte ativa, no mesmo momento, com identidade, inclusive, dos segundos – Embora não se olvide as facilidades da informática atual, não se mostra crível ter a parte autora dado início a duas contratações ao mesmo tempo – Validação, ademais, por fotografias repetidas que não confere força probatória de biometria facial - Ausência de comprovação de fato impeditivo, modificativo ou extintivo do direito da parte autora – Art. 373, II do CPC – Embora a parte ativa tenha fornecido cópias de seus documentos pessoais e de fotografia de sua face, não há, no caso, culpa concorrente - A permissão do uso da mesma fotografia para a validação de dois contratos revela a ausência da adoção, pela correspondente bancário, de mecanismos de segurança para a prevenção de fraude – Responsabilidade que emerge ao banco contratante, nos termos do art. 3º, da Resolução CMN nº 4.935, de 29 de julho de 2021 - Dever de repetição dos valores indevidamente descontados do benefício previdenciário do autor, sob pena de indevido enriquecimento sem causa da instituição financeira – Descabimento, contudo, da repetição na forma dobrada - Não preenchimento dos requisitos dispostos no artigo 940 do Código Civil, ou 42 do CDC - Dano moral , nas circunstâncias, não caracterizado – Situação que não ultrapassou a seara do mero aborrecimento e contou com a participação do autor – Indenização incabível - Condenação desconstituída – Ausência de dever da parte ativa de restituir/compensar os valores que lhe foram disponibilizados - Observado que a correspondente bancária foi a causadora do evento (contratação irregular) e o banco responde por atos daquela perante clientes e terceiros, não é do autor e sim do beneficiado que a instituição financeira poderá compor seu prejuízo - Sentença parcialmente modificada – Decaimento recíproco - Recurso parcialmente provido."
1005300-21.2025.8.26.0269,20815334,Apelação Cível,Prestação de Serviços,Antonio Conehero Júnior,Itapetininga,34ª Câmara de Direito Privado,34,Direito Privado,07/08/2026,07/08/2026,5000.0,True,True,121,"Apelação – Obrigação de fazer cumulada com indenização por dano moral – Invasão de perfil em rede social – Perda de acesso à conta – Utilização por terceiros para divulgação de ofertas fraudulentas – Sentença de procedência parcial – Recurso do autor – Trânsito em julgado do capítulo da sentença que certificou o defeito na prestação do serviço e impôs a obrigação de fazer – Utilização indevida da identidade digital do apelante para tentativa de aplicação de golpes – Situação que ultrapassa os meros aborrecimentos – Dano moral configurado – Indenização arbitrada em R$ 5.000,00 – Multa diária fixada em conformidade com os critérios de razoabilidade e proporcionalidade, não comportando majoração – Sucumbência integral da apelada – Recurso provido em parte."
1000668-49.2025.8.26.0075,20812019,Apelação Cível,Evicção ou Vicio Redibitório,Barreto e Silva,Bertioga,32ª Câmara de Direito Privado,32,Direito Privado,06/08/2026,06/08/2026,6779.0,False,False,178,"APELAÇÃO. VÍCIO DO PRODUTO. INDENIZAÇÃO POR DANOS MORAIS E MATERIAIS. RECURSO PARCIALMENTE PROVIDO.
I. Caso em exame
1. Ação de devolução de quantia paga c/c indenização por danos morais e materiais proposta por consumidor idoso contra a loja e a fabricante, em razão de vício insanável em refrigerador adquirido em 2024. A sentença julgou parcialmente procedente a demanda, condenando as rés a restituir R$ 6.779,00 ao autor, mas indeferiu os pedidos de danos materiais e morais. 
II. Questão em discussão
2. A questão em discussão consiste em determinar se a privação do bem e a inércia das fornecedoras em sanar o vício configuram lesão a direitos da personalidade.
III. Razões de decidir
3. O vício do produto é incontroverso. O autor tentou solucionar o problema por via administrativa, acionando a assistência técnica e formalizando reclamação junto ao PROCON, sem que as fornecedoras oferecessem qualquer solução. 
4. A conduta desidiosa e omissa das rés transbordou o mero aborrecimento e atingiu a esfera extrapatrimonial do autor.
IV. Dispositivo
5. Recurso parcialmente provido. Indenização por danos morais fixada em R$ 5.000,00."
1053430-56.2024.8.26.0114,20810344,Apelação Cível,Associação,Silvério da Silva,Campinas,8ª Câmara de Direito Privado,8,Direito Privado,06/08/2026,06/08/2026,8000.0,True,False,152,"APELAÇÃO. DECLARATÓRIA DE INEXIGIBILIDADE DE DÉBITO C.C. INDENIZAÇÃO POR DANO MATERIAL E MORAL. SENTENÇA IMPROCEDENTE. INCONFORMISMO DO AUTOR. DESCONTOS EM BENEFÍCIO PREVIDENCIÁRIO. ADESÃO VIA ELETRÔNICA QUE NÃO TEM VALIDADE, DIANTE DA AUSÊNCIA DE INFORMAÇÕES CLARAS SOBRE AS CONDIÇÕES E OBRIGAÇÕES DO CONSUMIDOR. LINK DA GRAVAÇÃO TELEFÔNICA QUE NÃO ELUCIDA O OBJETO DO CONTRATO COM CLAREZA. CONSUMIDOR QUE SE LIMITA A REPETIR A FALA DA ATENDENTE, PALAVRA POR PALAVRA, SEM DEMONSTRAR CONHECIMENTO DA CONTRATAÇÃO. AFRONTA AOS PRINCÍPIOS DO CDC. INEXIGIBILIDADE DO DÉBITO QUE DEVE SE IMPOR. ILICITUDE DOS DESCONTOS. REPETIÇÃO EM DOBRO DEVIDA. MÁ-FÉ CARACTERIZADA. DANO MORAL . OCORRÊNCIA. DANO 'IN RE IPSA'. TESE FIXADA POR OCASIÃO DO JULGAMENTO DO IRDR Nº59 DESTE TRIBUNAL. DESCONTOS INDEVIDOS NO BENEFÍCIO PREVIDENCIÁRIO, QUE DESESTRUTURAM O FLUXO DE CAIXA DO AUTOR. INDENIZAÇÃO ARBITRADA EM R$ 8.000,00. SUCUMBÊNCIA ATRIBUÍDA À RÉ. HONORÁRIOS DE ADVOGADO FIXADOS EM 20% SOBRE O VALOR ATUALIZADO DA CONDENAÇÃO. DADO PROVIMENTO PARCIAL AO RECURSO"
1003716-79.2025.8.26.0248,20810337,Apelação Cível,Associação,Silvério da Silva,Indaiatuba,8ª Câmara de Direito Privado,8,Direito Privado,06/08/2026,06/08/2026,8000.0,True,False,102,"APELAÇÃO. DECLARATÓRIA INEXISTÊNCIA DE RELAÇÃO JURÍDICA C.C. REPETIÇÃO DE INDÉBITO E INDENIZAÇÃO POR DANOS MORAIS . SENTENÇA PARCIALMENTE PROCEDENTE. INCONFORMISMO DO AUTOR. DESCONTOS INDEVIDOS INCIDENTES SOBRE BENEFÍCIO PREVIDENCIÁRIO. DANO MORAL . OCORRÊNCIA. DANO 'IN RE IPSA'. TESE FIXADA POR OCASIÃO DO JULGAMENTO DO IRDR Nº59 DESTE TRIBUNAL. DESCONTOS INDEVIDOS EM BENEFÍCIO PREVIDENCIÁRIO DE BAIXO VALOR, COM REPERCUSSÃO DIRETA NA SUBSISTÊNCIA DO AUTOR. INDENIZAÇÃO ARBITRADA EM R$ 8.000,00. SUCUMBÊNCIA INTEGRAL ATRIBUÍDA À RÉ. HONORÁRIOS ADVOCATÍCIOS QUE DEVEM SER FIXADOS SOBRE O VALOR DA CONDENAÇÃO. TEMA 1076 DO STJ. VERBA HONORÁRIA FIXADA EM 20% SOBRE O VALOR DA CONDENAÇÃO. DADO PROVIMENTO PARCIAL AO RECURSO"
1021772-28.2025.8.26.0001,20804894,Apelação Cível,Tratamento médico-hospitalar,Marcos de Lima Porta,São Paulo,Núcleo 4.0-T. V (DP1),,,05/08/2026,05/08/2026,,False,True,194,"Direito Civil. Apelação. Contratos. Pedido julgado procedente.
I. Caso em Exame
1. A d, beneficiária de plano de saúde, necessitou de internação urgente devido a sintomas respiratórios graves. A operadora negou cobertura alegando período de carência, mas a sentença determinou a cobertura e indenização por danos morais .
II. Questão em Discussão
2. A questão em discussão consiste em: (i) a interpretação de cláusulas contratuais de plano de saúde e a possibilidade de indenização por danos morais ; (ii) a majoração do valor fixado a título de danos morais .
III. Razões de Decidir
3. A negativa de cobertura foi indevida, pois o prazo de carência de 24 horas para urgência já estava superado.
4. A recusa resultou de interpretação de cláusulas contratuais, não ensejando indenização por danos morais . A tutela de urgência reduziu os impactos da negativa.
IV. Dispositivo e Tese
5. Recurso da operadora de saúde provido; recurso da parte requerente desprovido.
Tese de julgamento: 1. Interpretação de cláusulas contratuais não gera indenização por danos morais . 2. A tutela de urgência reduz impactos da negativa de cobertura.
Legislação Citada:
Código Civil, art. 475
Código de Processo Civil, art. 85, §11"
1003732-68.2025.8.26.0010,20803928,Apelação Cível,Prestação de Serviços,Fernando Sastre Redondo,São Paulo,38ª Câmara de Direito Privado,38,Direito Privado,05/08/2026,05/08/2026,,True,False,46,"AÇÃO DE OBRIGAÇÃO DE FAZER C.C. INDENIZAÇÃO POR DANOS MORAIS . Prestação de serviços. Restabelecimento de conta no Instagram. Perfil profissional. Alegada violação aos termos de uso. Ausência de demonstração. Desativação arbitrária. Reconhecimento. Dano moral . Configuração. Quantum indenizatório. Redução. Inadmissibilidade. Sentença mantida. 
RECURSO NÃO PROVIDO."
1011045-98.2025.8.26.0004,20803868,Apelação Cível,Compra e Venda,L. G. Costa Wagner,São Paulo,34ª Câmara de Direito Privado,34,Direito Privado,01/08/2026,04/08/2026,15000.0,True,False,333,"APELAÇÃO. AÇÃO DE OBRIGAÇÃO DE FAZER C./C. INDENIZAÇÃO POR DANOS MORAIS . COMPRA E VENDA À DISTÂNCIA. DIREITO AO ARREPENDIMENTO. DANO MORAL CARACTERIZADO. DESVIO DO TEMPO ÚTIL DO CONSUMIDOR. COMPRA DE NOTEBOOK. AUTORA QUE SOLICITOU A DEVOLUÇÃO DO PRODUTO NO DIA DO RECEBIMENTO, EM FUNÇÃO DE O APARELHO APRESENTAR DIVERSOS DEFEITOS. RÉ QUE CRIOU DIVERSAS CONDICIONANTES A TÍTULO DE ""TESTES"". DIREITO POTESTATIVO DO CONSUMIDOR. AUTORA QUE FICOU VÁRIOS DIAS PRIVADA DO EQUIPAMENTO QUE SERIA UTILIZADO PARA TRABALHO. SITUAÇÃO QUE SOMENTE SE RESOLVEU APÓS A PROPOSITURA DA AÇÃO POR CONTA DO ACEITE DE OUTRO APARELHO. SENTENÇA DE IMPROCEDÊNCIA. RECURSO PARCIALMENTE PROVIDO.
I. Trata-se de recurso de apelação interposto contra sentença que julgou a ação de obrigação de fazer c./c. indenização a título de danos morais pleiteada no importe de R$ 15.000,00 improcedente.
II. A questão em discussão consiste em verificar (i) a responsabilidade da Ré pela não devolução do valor pago, diante do direito potestativo de arrependimento da consumidora a teor do art. 49 do CDC, bem como (ii) os transtornos sofridos na esfera administrativa que levaram a consumidora a gastar parte significativa de seu tempo para resolver problema que não deu causa.
III. Razões de Decidir: O direito de arrependimento do consumidor é garantido pelo art. 49 do CDC, sendo devida a restituição do valor pago. A falha na prestação de serviços caracteriza dano moral , conforme a teoria da perda do tempo útil, que reconhece o tempo desperdiçado pelo consumidor como dano indenizável. Sentimento de impotência, frustração e indignação, que extrapola o mero dissabor e enseja condenação pecuniária. Desvio produtivo do consumidor. Valor indenizatório, no entanto, que deve ser arbitrado no importe de R$ 5.000,00, por critério de razoabilidade e proporcionalidade. Sentença parcialmente reformada. Sucumbência invertida.
IV. Tese de julgamento: 1. A falha na prestação de serviços e o tempo perdido pelo consumidor configuram dano moral indenizável. 2. A indenização deve ser proporcional ao dano e à conduta da Ré, ensejando o valor indenizatório no importe de R$ 5.000,00.
RECURSO PARCIALMENTE PROVIDO"
1016471-42.2023.8.26.0625,20802756,Apelação Cível,Empréstimo consignado,Mônica Soares Machado,Taubaté,Núcleo 4.0-T. VIII (DP2),,,04/08/2026,04/08/2026,5000.0,True,False,643,"APELAÇÃO. DIREITO DO CONSUMIDOR. NULIDADE CONTRATUAL C/C REPETIÇÃO DE INDÉBITO E INDENIZAÇÃO POR DANOS MORAIS . CARTÃO DE CRÉDITO CONSIGNADO. NEGATIVA DE CONTRATAÇÃO. SENTENÇA PROCEDÊNCIA INTEGRADA POR EMBARGOS DE DECLARAÇÃO. RECURSO PARCIALMENTE PROVIDO.
I. CASO EM EXAME: Apelação do banco contra sentença que julgou procedente a ação para declarar a inexistência da relação jurídica, determinar a restituição em dobro dos valores descontados, condenando o réu ao pagamento de indenização por danos morais , autorizando a compensação, bem como ao pagamento de multa por litigância de má-fé. Sustenta o apelante, preliminarmente, prescrição parcial. No mérito, defende a regularidade da contratação e dos documentos apresentados e a inexistência de fraude, requerendo o afastamento ou a redução da indenização por danos morais , a restituição simples dos valores, a observância da modulação fixada pelo STJ quanto à repetição do indébito, a compensação dos valores creditados à autora e a alteração dos consectários legais.
II. QUESTÃO EM DISCUSSÃO: 1. Saber se está consumada a prescrição parcial da pretensão ressarcitória; 2. Se é possível reconhecer a validade do contrato impugnado, cuja assinatura foi reputada falsa pela perícia; 3. Se subsiste a condenação por danos morais e restituição em dobro dos valores descontados; 4. Analisar os pedidos subsidiários relativos à compensação dos valores disponibilizados e aos consectários legais.
III. RAZÕES DE DECIDIR: Pretensão fundada na alegada inexistência de contratação – Incidência do prazo prescricional quinquenal – Prescrição limitada às parcelas vencidas anteriormente ao quinquênio que antecede o ajuizamento da ação, reconhecendo-se a prescrição parcial – Laudo pericial grafotécnico conclusivo atestando que a assinatura aposta no contrato não partiu do punho da autora – Fraude devidamente caracterizada – Ausência, portanto, de autorização expressa e válida para a realização dos descontos, impondo-se a declaração de inexistência da relação jurídica – Era ônus do réu a comprovação iniludível de contratação idônea – Descumprimento – Contratação inválida – Ausência de prova estreme de dúvida da manifestação volitiva válida da parte autora – Falha na prestação do serviço – Responsabilidade objetiva da instituição financeira por fraudes praticadas no âmbito de suas operações – Súmula 479 do STJ e art. 14 do CDC – Inexigibilidade dos valores descontados – Violação à boa-fé objetiva – Devida a repetição do indébito em dobro – Modulação do Tema 929 do STJ e compensação dos valores já apreciadas pelo Juízo de origem em embargos de declaração – Dano moral caracterizado – Descontos incidentes sobre benefício previdenciário, verba de natureza alimentar – Comprometimento da subsistência da autora – Todavia, valor fixado na sentença revela-se excessivo, diante das peculiaridades do caso concreto – Adequada a sua redução para R$ 5.000,00, em observância aos princípios da razoabilidade e da proporcionalidade e em consonância com os parâmetros adotados por esta Corte em casos análogos – Mantido o termo inicial dos juros de mora conforme fixado na sentença – Relação extracontratual – Incidência a partir do evento danoso (Súmula nº 54 do STJ).
IV. DISPOSITIVO E TESES: Recurso parcialmente provido para reconhecer a prescrição das parcelas anteriores ao quinquênio que antecedeu o ajuizamento da ação e reduzir o valor da indenização por danos morais para R$ 5.000,00.
Teses de julgamento: 1. A falsidade da assinatura aposta em contrato bancário impede o reconhecimento da validade da contratação, respondendo objetivamente a instituição financeira pelos danos decorrentes de fraude praticada por terceiro, por se tratar de fortuito interno. 2. A cobrança fundada em contrato inexistente autoriza a repetição do indébito em dobro, diante da violação à boa-fé objetiva. 3. O desconto indevido incidente sobre benefício previdenciário configura dano moral indenizável, cabendo redução quando fixado em valor desproporcional às peculiaridades do caso concreto.
Legislação Citada: CDC, art. 14; CPC, art. 373, II e 479.
Jurisprudência Citada: STJ, Súmulas 54 e 479; (TJSP; Apelação Cível 1005151-79.2025.8.26.0348; Rel.: Marcia Rezende Barbosa de Oliveira; Núcleo 4.0-T. VII; j: 02/07/2026); (TJSP; Apelação Cível 1002878-13.2022.8.26.0032; Rel. Léa Duarte; Núcleo 4.0-T. IV; j: 28/02/2025)."
1009872-72.2021.8.26.0006,20802793,Apelação Cível,Indenização por Dano Moral,Hertha Helena de Oliveira,São Paulo,2ª Câmara de Direito Privado,2,Direito Privado,04/08/2026,04/08/2026,10000.0,False,False,226,"DIREITO CIVIL. APELAÇÃO. RESPONSABILIDADE CIVIL. INDENIZAÇÃO POR DANOS MORAIS . I. Caso em Exame. 1. Recurso de apelação interposto contra sentença que condenou a requerida ao pagamento de indenização por danos morais no valor de R$10.000,00, corrigida monetariamente e acrescida de juros de mora. A sentença também julgou improcedente o pedido reconvencional. A requerida alega que não ofendeu a apelada e que a ação foi movida por vingança, pleiteando a improcedência da ação e a procedência da reconvenção. II. Questão em Discussão. 2. A questão em discussão consiste em (a) determinar se a requerida ultrapassou os limites do tolerável em suas ações contra a autora, justificando a indenização por danos morais , e (b) avaliar se o pedido reconvencional da requerida tem fundamento. III. Razões de Decidir. 3. A sentença foi mantida, pois a apelante não apresentou novos elementos que pudessem modificar a decisão. 4. As provas apresentadas confirmam as agressões verbais e comportamentos inadequados da requerida, ultrapassando o tolerável, ao passo que não comprovou suas observações de perseguição por parte da autora a justificar a procedência da reconvenção. IV. Dispositivo. 5. Recurso desprovido.
 Tese de julgamento: 1. A indenização por danos morais é devida quando comprovada que a requerida ultrapassou os limites do tolerável em suas ações. 2. O pedido reconvencional não pode ser julgado procedente sem demonstração de prejuízos materiais ou danos morais ."
